id,value
id_0,25.8937937811
id_1,62.6388452197
id_2,18.4857110775
id_3,29.2891433099
id_4,7.54703338762
id_5,30.4243576192
id_6,40.82612089
id_7,17.0598109249
id_8,50.6225724904
id_9,32.5769594528
id_10,38.4191049008
id_11,58.468969879
id_12,34.4407855549
id_13,40.4437203097
id_14,27.5262964463
id_15,11.4557884471
id_16,50.6380486601
id_17,21.6861445581
id_18,17.0137247499
id_19,18.4308510903
id_20,15.5272189115
id_21,29.1107569431
id_22,40.2699820243
id_23,8.03191844195
id_24,62.1396278938
id_25,46.0772416342
id_26,26.7736254131
id_27,6.69732932769
id_28,29.2434013482
id_29,36.2863624908
id_30,18.4319871184
id_31,11.7869783613
id_32,15.695304896
id_33,6.29898285468
id_34,16.5108968057
id_35,41.2861731708
id_36,20.8293186935
id_37,28.011039434
id_38,9.44132125936
id_39,57.2450645367
id_40,45.8865986814
id_41,20.0549609145
id_42,52.9363000707
id_43,18.0293552678
id_44,44.1547377324
id_45,49.6338272008
id_46,56.2716292685
id_47,41.2937839189
id_48,54.9412635703
id_49,38.5283634701
id_50,29.0046334261
id_51,24.4090444786
id_52,40.5161561526
id_53,24.1479348731
id_54,37.1468826644
id_55,38.9034335884
id_56,24.1224887052
id_57,21.0700132006
id_58,36.7417707318
id_59,32.4350241983
id_60,13.5367210677
id_61,22.7066161366
id_62,32.7751780304
id_63,52.9614511148
id_64,51.1489796896
id_65,25.7661508963
id_66,38.0008136327
id_67,50.8578364914
id_68,28.9654018101
id_69,37.5888799692
id_70,63.9385181918
id_71,54.795126391
id_72,41.9084506638
id_73,13.0570631879
id_74,12.9511558118
id_75,34.3635705473
id_76,60.1532395239
id_77,1.88040972414
id_78,43.6166767863
id_79,42.3321635623
id_80,8.67649172722
id_81,22.828129461
id_82,5.61643816956
id_83,32.679450792
id_84,9.1406779751
id_85,4.92209147003
id_86,17.5431061331
id_87,11.4455264065
id_88,19.0158048461
id_89,24.9144187828
id_90,34.9055799799
id_91,11.855342223
id_92,12.3460653646
id_93,10.0210370922
id_94,38.2427128318
id_95,14.3564988769
id_96,17.409258914
id_97,9.82067065403
id_98,11.4468974216
id_99,5.39407670948
id_100,10.1047341682
id_101,18.0973455105
id_102,11.7780249535
id_103,8.38199675079
id_104,12.7733378363
id_105,36.9527314948
id_106,24.5721954972
id_107,7.05146734401
id_108,16.6589014518
id_109,15.3704040654
id_110,11.0423877516
id_111,17.1181579131
id_112,17.0934080152
id_113,26.4505987143
id_114,20.7033120693
id_115,16.8020331394
id_116,7.8605091419
id_117,45.9074534919
id_118,25.954838961
id_119,0.505908287277
id_120,1.95981733022
id_121,11.3350492164
id_122,13.0045551439
id_123,12.7887889487
id_124,8.211433058
id_125,24.3586125359
id_126,23.0730125021
id_127,9.5517956525
id_128,20.6525628159
id_129,16.143743371
id_130,3.2598099578
id_131,31.6222184775
id_132,15.9881207323
id_133,22.5588967888
id_134,26.6164325646
id_135,24.6506438522
id_136,10.0513052873
id_137,21.0616563845
id_138,78.182016018
id_139,61.422259734
id_140,26.2544887649
id_141,18.7369130509
id_142,24.0745288198
id_143,7.570494773
id_144,13.7877723723
id_145,9.10858537065
id_146,18.3530247837
id_147,6.98208248909
id_148,12.9042243731
id_149,14.4547699426
id_150,47.7493480332
id_151,20.3694209524
id_152,21.7848760842
id_153,12.8018072238
id_154,14.7931517899
id_155,24.26870741
id_156,24.3965301283
id_157,36.9584158601
id_158,3.42312523323
id_159,22.8202910089
id_160,42.1272175407
id_161,18.9307761951
id_162,62.7402654356
id_163,17.020586307
id_164,33.610610041
id_165,24.9311068264
id_166,21.6743714947
id_167,2.22334099849
id_168,67.8240831558
id_169,14.8119939286
id_170,15.8110590427
id_171,71.038709632
id_172,21.4919313368
id_173,1.96808246543
id_174,23.5009816015
id_175,1.530653704
id_176,6.32862785453
id_177,17.868065019
id_178,20.2658084298
id_179,23.8898807002
id_180,42.2404898912
id_181,32.122894301
id_182,27.4570069543
id_183,12.3952634356
id_184,6.74727093261
id_185,41.6932385113
id_186,35.3071318994
id_187,34.8571685992
id_188,15.8306402923
id_189,23.4321015614
id_190,13.561083385
id_191,15.9481900056
id_192,30.5185824748
id_193,73.8509728623
id_194,30.2222813894
id_195,11.8668213915
id_196,63.3489927769
id_197,16.9754856938
id_198,19.3015429116
id_199,18.4082416496
id_200,122.643938998
id_201,24.0539017161
id_202,58.5727748969
id_203,5.5564699605
id_204,59.979650197
id_205,34.4258733701
id_206,13.7495021305
id_207,12.9544190894
id_208,61.3752507747
id_209,16.3395430718
id_210,38.570873785
id_211,68.9222386037
id_212,17.9778667697
id_213,115.050955004
id_214,40.8191349698
id_215,77.9757185374
id_216,93.6065009316
id_217,70.3340491001
id_218,29.2768909483
id_219,18.4575115482
id_220,29.3058475053
id_221,54.818527493
id_222,26.0488750528
id_223,37.5070081725
id_224,40.3912295935
id_225,8.88015567905
id_226,2.47697120388
id_227,79.7838314604
id_228,28.6732524487
id_229,0.808950161046
id_230,39.9343965762
id_231,15.6554199122
id_232,21.8720535847
id_233,6.97120696931
id_234,15.0222571188
id_235,24.886718471
id_236,13.5872953081
id_237,1.73496660629
id_238,20.1648115847
id_239,11.3076964748
