id,value
id_0,23.2632398054
id_1,62.0767358377
id_2,25.6661134007
id_3,31.1632306783
id_4,9.14618979968
id_5,22.9614452628
id_6,41.1567123896
id_7,17.5192262886
id_8,53.8423480531
id_9,27.5203592071
id_10,36.8689023164
id_11,55.1384368348
id_12,37.6780817973
id_13,29.220995887
id_14,32.0649513366
id_15,13.0844479775
id_16,54.8423658312
id_17,22.8253777
id_18,12.9198684669
id_19,14.7753359803
id_20,18.713365154
id_21,32.7641102564
id_22,39.4916820068
id_23,12.8358069528
id_24,60.5928415554
id_25,41.0512604235
id_26,22.8328360085
id_27,10.2089512832
id_28,31.2481924028
id_29,31.6690976273
id_30,12.1364659498
id_31,10.5384579933
id_32,14.425169889
id_33,9.85947598454
id_34,16.9479803001
id_35,45.5233545162
id_36,23.3647489281
id_37,27.9143738361
id_38,12.4633516181
id_39,56.3220897541
id_40,40.0919957328
id_41,28.5389602167
id_42,51.6307750798
id_43,19.3295842816
id_44,37.490184447
id_45,50.6511165182
id_46,54.27988639
id_47,41.9099574832
id_48,47.1496412843
id_49,29.0909803681
id_50,31.4836018523
id_51,20.6368830959
id_52,43.5612885711
id_53,23.3485332596
id_54,33.2038264474
id_55,39.9164863098
id_56,23.3345834363
id_57,21.8662119698
id_58,38.8614125226
id_59,37.2327019744
id_60,7.7500739674
id_61,34.7142732368
id_62,31.2530295043
id_63,43.343567697
id_64,47.7203691844
id_65,27.0859395334
id_66,36.0665314821
id_67,49.2932698721
id_68,25.9752223829
id_69,38.7852758838
id_70,57.5461415827
id_71,57.8927472253
id_72,36.7113685617
id_73,16.2238648188
id_74,12.848049956
id_75,35.2567796991
id_76,59.4870832703
id_77,3.79171837964
id_78,43.9253523364
id_79,40.5279425532
id_80,9.91335798565
id_81,19.1715128669
id_82,3.26060257487
id_83,34.7650183191
id_84,6.78031077489
id_85,8.46303482899
id_86,16.1884208838
id_87,12.3909949597
id_88,21.5913015453
id_89,19.0138788155
id_90,33.7736121517
id_91,11.4788598926
id_92,16.3749975814
id_93,13.0275018251
id_94,34.7310500003
id_95,15.6305358573
id_96,14.1950796985
id_97,8.08311204761
id_98,10.2136358359
id_99,11.0370993844
id_100,7.23623215153
id_101,21.0499095551
id_102,10.1086910297
id_103,11.9436614055
id_104,13.1091459942
id_105,29.0130030607
id_106,21.3134575673
id_107,9.50648279772
id_108,22.5503016092
id_109,17.3343531958
id_110,9.05878786077
id_111,12.5217511487
id_112,17.3023446666
id_113,18.8995082683
id_114,19.0889891422
id_115,18.1645071481
id_116,10.8975409186
id_117,37.466112069
id_118,20.4937946464
id_119,3.53078557206
id_120,0.673348403208
id_121,10.4577530414
id_122,9.21101719177
id_123,8.53328613097
id_124,7.90586014826
id_125,21.1863199475
id_126,23.8220497247
id_127,7.28481774717
id_128,16.2502369461
id_129,11.5289595685
id_130,-0.818559748937
id_131,26.3304846538
id_132,18.9919522057
id_133,32.7266248795
id_134,28.2266943732
id_135,23.5313966816
id_136,11.3572253497
id_137,24.3881676092
id_138,70.4813263674
id_139,66.7102057798
id_140,31.18395849
id_141,16.3997438035
id_142,21.4582477446
id_143,6.40227032058
id_144,17.9693034078
id_145,10.7193091896
id_146,17.2811780714
id_147,8.00625752224
id_148,13.4272280089
id_149,13.7155714141
id_150,34.6138772436
id_151,15.8928194173
id_152,19.3059206588
id_153,10.9239878085
id_154,20.1366238031
id_155,26.905712985
id_156,20.2907515025
id_157,33.0704762542
id_158,8.42780780997
id_159,19.5305558592
id_160,42.5126025688
id_161,17.3979612749
id_162,56.7437733069
id_163,13.7817043552
id_164,29.3157211031
id_165,25.472733372
id_166,23.2239840319
id_167,0.24238970408
id_168,65.9282623024
id_169,19.1998504632
id_170,14.3826537801
id_171,65.0773944558
id_172,16.3154427721
id_173,5.66678588223
id_174,30.4637517646
id_175,3.83492830499
id_176,9.67725677825
id_177,22.3396072729
id_178,22.2973779505
id_179,20.4113052234
id_180,38.4045888069
id_181,36.1849419383
id_182,34.349997372
id_183,16.02828025
id_184,5.87173613687
id_185,40.0154267036
id_186,30.3616431139
id_187,30.706793765
id_188,13.2730603166
id_189,23.5266082451
id_190,14.1569104035
id_191,14.7680059406
id_192,25.9791590596
id_193,74.2860382406
id_194,38.2918895806
id_195,12.3674005323
id_196,63.4364819164
id_197,17.7534278506
id_198,18.975398009
id_199,21.2955394006
id_200,104.574095122
id_201,20.4685100762
id_202,56.8928091749
id_203,9.60366597938
id_204,55.0372740658
id_205,27.3216524631
id_206,9.23335834748
id_207,18.6049794313
id_208,56.4846424005
id_209,22.5125087289
id_210,42.7852298996
id_211,63.1591183396
id_212,21.5893187767
id_213,116.594864693
id_214,36.7713706539
id_215,70.3842032084
id_216,77.9423489177
id_217,65.5473816097
id_218,39.9410139724
id_219,28.8850123554
id_220,30.4624861833
id_221,60.5520394536
id_222,23.3236689836
id_223,34.8116246029
id_224,43.356553153
id_225,9.71848972703
id_226,6.7917070157
id_227,72.859632847
id_228,28.5782366391
id_229,2.55307609857
id_230,39.7841409793
id_231,13.646086535
id_232,20.5175234718
id_233,6.23194330403
id_234,21.0661700504
id_235,21.3386900008
id_236,15.4718027048
id_237,6.9522206594
id_238,25.6430152594
id_239,15.7163464446
