id,value
id_0,29.3862053174
id_1,66.24354982
id_2,21.5090268125
id_3,30.3672512098
id_4,12.0147530984
id_5,35.4247571443
id_6,45.4188053564
id_7,16.115525411
id_8,50.5582957762
id_9,34.77133453
id_10,41.1896338669
id_11,61.6109551401
id_12,37.5897852648
id_13,41.7159869292
id_14,11.0418020873
id_15,14.691477214
id_16,47.4882830612
id_17,27.6210879904
id_18,19.6285174858
id_19,19.7660306504
id_20,14.8656933347
id_21,25.8918679823
id_22,36.8952568236
id_23,16.7953318139
id_24,62.5447859771
id_25,44.9560787884
id_26,29.4052084937
id_27,12.1616301749
id_28,28.5236974897
id_29,36.6390192086
id_30,18.9242458802
id_31,12.8681650298
id_32,17.951620424
id_33,6.3409049977
id_34,19.8703539757
id_35,35.7290820478
id_36,18.3655654201
id_37,27.4747395561
id_38,6.39653683302
id_39,61.5497294945
id_40,48.614631182
id_41,15.1212832734
id_42,49.0760033629
id_43,19.6566768992
id_44,45.7975051907
id_45,54.5445786045
id_46,58.4498046068
id_47,39.5186522537
id_48,53.2890097222
id_49,42.4721830842
id_50,30.9738360713
id_51,24.276584777
id_52,37.5761971188
id_53,27.4599112298
id_54,36.3223527482
id_55,41.898724318
id_56,24.7694121302
id_57,22.7174937445
id_58,33.3120719898
id_59,32.0578151806
id_60,17.5174998348
id_61,23.635480934
id_62,33.21626896
id_63,57.4772457824
id_64,53.0508057072
id_65,26.2323328707
id_66,40.6764744567
id_67,56.2538453894
id_68,26.865527031
id_69,34.6298806129
id_70,63.945061595
id_71,53.9512946349
id_72,43.0022287765
id_73,11.4295614937
id_74,13.5918812981
id_75,38.4265778283
id_76,60.3728201624
id_77,6.22693510192
id_78,46.1997807574
id_79,41.4741091567
id_80,10.269400372
id_81,21.7490386796
id_82,9.01100709888
id_83,30.2310810391
id_84,11.8249671433
id_85,6.73651901538
id_86,18.1746167565
id_87,13.3760288872
id_88,16.6027005954
id_89,30.8590513912
id_90,29.4025597667
id_91,11.8714472974
id_92,16.4819986226
id_93,9.89084734764
id_94,35.0162386943
id_95,17.4843649684
id_96,15.0095744836
id_97,8.78918964404
id_98,12.4513432645
id_99,7.60887904511
id_100,13.6934525475
id_101,19.5749871623
id_102,10.3755475801
id_103,6.62865669641
id_104,16.8835498551
id_105,36.4316588646
id_106,27.5786340325
id_107,10.0574246415
id_108,13.6319181897
id_109,15.5153445334
id_110,15.220805277
id_111,17.7426714446
id_112,14.3116845114
id_113,27.3200055807
id_114,20.3116773469
id_115,15.3588481989
id_116,11.0037682189
id_117,43.9918990767
id_118,26.9812898739
id_119,5.04359855015
id_120,4.59263856616
id_121,7.59636252157
id_122,15.8314931099
id_123,14.8254352026
id_124,7.53553181948
id_125,26.9083747642
id_126,22.3022710319
id_127,12.9462392137
id_128,17.2186305346
id_129,16.5299637209
id_130,5.5429204322
id_131,34.5934548426
id_132,16.1104936963
id_133,20.9741966456
id_134,24.3348259975
id_135,24.6031969657
id_136,11.4902855536
id_137,20.6451812664
id_138,86.6033998127
id_139,61.9147339904
id_140,27.5959651724
id_141,17.0482380673
id_142,24.9379143443
id_143,10.3254394927
id_144,8.9919969744
id_145,10.4645617966
id_146,23.3698827626
id_147,8.50542164483
id_148,14.3036661614
id_149,17.2634804094
id_150,52.9469951818
id_151,22.6609857422
id_152,22.4727436856
id_153,15.6267363475
id_154,14.5774530293
id_155,27.0161415
id_156,19.9276801169
id_157,34.3362368307
id_158,6.30844698391
id_159,18.2447171775
id_160,50.5680490331
id_161,20.3651921912
id_162,62.7564165505
id_163,18.9564039425
id_164,41.0945915595
id_165,26.9218733577
id_166,24.6611361931
id_167,3.36107448661
id_168,73.5325390804
id_169,16.9568637431
id_170,18.0117983917
id_171,77.8805117834
id_172,20.4116484111
id_173,5.77316970668
id_174,16.8476895446
id_175,4.28908744653
id_176,9.31058744957
id_177,25.3212819328
id_178,20.8587538967
id_179,20.1929165592
id_180,43.6965257282
id_181,24.8361944818
id_182,21.5829798099
id_183,13.0750884147
id_184,8.9099710216
id_185,42.6037347784
id_186,39.0365082475
id_187,32.2055934011
id_188,16.4065070706
id_189,22.338043166
id_190,16.058205361
id_191,15.9221681267
id_192,32.3795255785
id_193,77.6976558675
id_194,24.7431453591
id_195,13.0108433546
id_196,60.6525903025
id_197,18.0323136497
id_198,19.0613706157
id_199,23.5716972882
id_200,169.953918902
id_201,29.2930187586
id_202,58.0282309026
id_203,10.7084809883
id_204,67.3486202915
id_205,35.9951565996
id_206,18.0182673954
id_207,12.7952061979
id_208,66.0213509408
id_209,14.6137496154
id_210,30.1602436458
id_211,83.4190880566
id_212,19.9957082695
id_213,99.7005704374
id_214,38.6767818546
id_215,128.865931043
id_216,115.50464539
id_217,83.7584487392
id_218,25.3241136118
id_219,15.220946084
id_220,33.8401605537
id_221,56.6618402208
id_222,31.3284174244
id_223,42.0245836857
id_224,42.2030258481
id_225,9.74423557356
id_226,-1.1562357285
id_227,77.127942208
id_228,26.7628292903
id_229,3.58893523758
id_230,42.6300994587
id_231,16.3136237817
id_232,23.1225602974
id_233,6.82630195973
id_234,12.1170776803
id_235,20.9490644069
id_236,13.3063939936
id_237,2.34719310005
id_238,19.9930472558
id_239,3.59523047426
